nr,Treatment,color,Time,Block,Weight,Note
1,Strain 1,groen,7,1,9.838,
2,Strain 1,groen,7,1,3.632,
3,Strain 1,groen,7,1,10.121,
4,Strain 1,groen,7,1,5.308,
5,Strain 1,groen,7,1,4.135,
6,Strain 1,groen,7,2,5.869,
7,Strain 1,groen,7,2,6.661,
8,Strain 1,groen,7,2,10.335,
9,Strain 1,groen,7,2,7.98,
10,Strain 1,groen,7,2,5.775,
11,Strain 1,groen,7,3,5.444,
12,Strain 1,groen,7,3,5.884,
13,Strain 1,groen,7,3,6.361,
14,Strain 1,groen,7,3,6.283,
15,Strain 1,groen,7,3,5.476,
21,Strain 2,mint,7,1,9.176,
22,Strain 2,mint,7,1,5.84,
23,Strain 2,mint,7,1,6.32,
24,Strain 2,mint,7,1,10.265,
25,Strain 2,mint,7,1,3.989,
26,Strain 2,mint,7,2,3.887,
27,Strain 2,mint,7,2,4.328,
28,Strain 2,mint,7,2,7.779,
29,Strain 2,mint,7,2,6.064,
30,Strain 2,mint,7,2,4.2,
31,Strain 2,mint,7,3,5.427,
32,Strain 2,mint,7,3,4.928,
33,Strain 2,mint,7,3,2.88,
34,Strain 2,mint,7,3,7.363,
35,Strain 2,mint,7,3,7.151,
41,Strain 3,oranje,7,1,3.528,
42,Strain 3,oranje,7,1,4.886,
43,Strain 3,oranje,7,1,9.742,
44,Strain 3,oranje,7,1,5.539,
45,Strain 3,oranje,7,1,4.252,
46,Strain 3,oranje,7,2,4.722,
47,Strain 3,oranje,7,2,7.32,
48,Strain 3,oranje,7,2,6.272,
49,Strain 3,oranje,7,2,5.319,
50,Strain 3,oranje,7,2,5.046,
51,Strain 3,oranje,7,3,6.08,
52,Strain 3,oranje,7,3,3.944,
53,Strain 3,oranje,7,3,3.264,
54,Strain 3,oranje,7,3,4.49,
55,Strain 3,oranje,7,3,6.386,
61,WCS417,crème,7,1,4.902,
62,WCS417,crème,7,1,6.794,
63,WCS417,crème,7,1,5.664,
64,WCS417,crème,7,1,6.6,
65,WCS417,crème,7,1,7.405,
66,WCS417,crème,7,2,3.894,
67,WCS417,crème,7,2,8.621,
68,WCS417,crème,7,2,8.133,
69,WCS417,crème,7,2,5.906,
70,WCS417,crème,7,2,7.002,
71,WCS417,crème,7,3,6.715,
72,WCS417,crème,7,3,7.147,
73,WCS417,crème,7,3,6.829,
74,WCS417,crème,7,3,6.874,
75,WCS417,crème,7,3,9.4,
81,Heat-killed,paars,7,1,3.513,
82,Heat-killed,paars,7,1,4.219,
83,Heat-killed,paars,7,1,7.854,
84,Heat-killed,paars,7,1,10.073,
85,Heat-killed,paars,7,1,7.384,
86,Heat-killed,paars,7,2,7.942,
87,Heat-killed,paars,7,2,4.222,
88,Heat-killed,paars,7,2,7.316,
89,Heat-killed,paars,7,2,9.848,
90,Heat-killed,paars,7,2,5.084,
91,Heat-killed,paars,7,3,6.751,
92,Heat-killed,paars,7,3,7.304,
93,Heat-killed,paars,7,3,4.729,
94,Heat-killed,paars,7,3,7.366,
95,Heat-killed,paars,7,3,5.523,
101,CTRL,wit,7,1,6.506,
102,CTRL,wit,7,1,5.831,
103,CTRL,wit,7,1,7.226,
104,CTRL,wit,7,1,5.554,
