nr,Treatment,color,Block,7-days,13-days,16-days,18-days,ln_7-days,ln_13-days,ln_16-days,ln_18-days,GrowthRate,ln_GrowthRate,Cat_location_day-18,,7,14,16,18
1,Strain 1,groen,1,9.838,168.1,485,,2.286252438,5.12455904,6.184148891,,0.01713,2.34153,In soil,,,,,
2,Strain 1,groen,1,3.632,79.9,168.9,556.2,1.289783461,4.380775853,5.129306824,6.321127942,0.05357,2.32091,,,,,,
3,Strain 1,groen,1,10.121,55,214.3,367.2,2.314612473,4.007333185,5.367376902,5.905906659,0.03576,2.99578,Leaf,,,,,
4,Strain 1,groen,1,5.308,127,219.1,772.9,1.669215116,4.844187086,5.389528247,6.650149674,0.04290,2.34524,,,,,,
5,Strain 1,groen,1,4.135,112,206.6,724.8,1.419487328,4.718498871,5.330784557,6.585895755,0.04493,2.24122,On soil,,,,,
6,Strain 1,groen,2,5.869,89.3,251.2,494.9,1.769684262,4.492001488,5.526249435,6.204355722,0.03337,2.43151,On soil,,,,,
7,Strain 1,groen,2,6.661,126.4,219.4,565.5,1.896269623,4.839451482,5.390896548,6.337710296,0.04306,2.50990,On soil,,,,,
8,Strain 1,groen,2,10.335,217.3,549.1,,2.335536193,5.381278887,6.308280574,,0.01571,2.27362,In soil,,,,,
9,Strain 1,groen,2,7.98,64.5,186.1,573.5,2.076938411,4.166665224,5.226284164,6.351757937,0.04510,2.92647,Leaf,,,,,
10,Strain 1,groen,2,5.775,96.8,265,653.8,1.753538256,4.572646994,5.579729826,6.482801494,0.03186,2.38053,Leaf,,,,,
11,Strain 1,groen,3,5.444,78.1,218,492.1,1.694514085,4.357990057,5.384495063,6.198681948,0.03857,2.47692,Leaf,,,,,
12,Strain 1,groen,3,5.884,79.1,210.1,393.3,1.772236803,4.370712875,5.347583608,5.974572679,0.04068,2.55357,Pot edge,,,,,
13,Strain 1,groen,3,6.361,118.6,260.6,577.7,1.850185598,4.775756487,5.562986665,6.359054703,0.03447,2.41551,On soil,,,,,
14,Strain 1,groen,3,6.283,94.5,250.9,576.1,1.837847573,4.548599834,5.525054453,6.356281257,0.03401,2.47124,On soil,,,,,
15,Strain 1,groen,3,5.476,119.3,252.3,659.8,1.700374907,4.781641329,5.530618856,6.491936759,0.03587,2.32707,On soil,,,,,
21,Strain 2,mint,1,9.176,190.4,407.8,,2.21659138,5.249127122,6.010776858,,0.02214,2.35389,,,,,,
22,Strain 2,mint,1,5.84,176.3,420,621.4,1.764730797,5.172187089,6.040254711,6.431974997,0.02080,2.09069,On soil,,,,,
23,Strain 2,mint,1,6.32,117.5,208.3,613.1,1.843719208,4.766438334,5.338979348,6.418528055,0.04524,2.51632,Leaf,,,,,
24,Strain 2,mint,1,10.265,212,507.5,888.6,2.32874005,5.356586275,6.229496711,6.789647191,0.01726,2.30845,In soil,,,,,
25,Strain 2,mint,1,3.989,102,246,568.7,1.383540573,4.624972813,5.505331536,6.343353054,0.03545,2.17703,Stick_Net,,,,,
26,Strain 2,mint,2,3.887,81,207.6,508.9,1.357637652,4.394449155,5.335613151,6.232251534,0.04138,2.27291,On soil,,,,,
27,Strain 2,mint,2,4.328,91.8,240.6,533.7,1.465105542,4.519612298,5.483135804,6.279833883,0.03546,2.25243,On soil,,,,,
28,Strain 2,mint,2,7.779,160,371.3,740,2.051427795,5.075173815,5.917010361,6.606650186,0.02380,2.32472,On soil,,,,,
29,Strain 2,mint,2,6.064,67.1,270,406.1,1.802369648,4.206184044,5.598421959,6.006599435,0.02801,2.43036,On soil,,,,,
30,Strain 2,mint,2,4.2,84,245.9,581.6,1.435084525,4.430816799,5.504924949,6.365782926,0.03360,2.23841,Stick_Net,,,,,
31,Strain 2,mint,3,5.427,98.4,228.1,548.6,1.691386495,4.589040804,5.429784129,6.307369579,0.03883,2.40959,On soil,,,,,
32,Strain 2,mint,3,4.928,106.9,262.4,588.5,1.594933226,4.671893818,5.569870057,6.377576927,0.03313,2.26696,In soil,,,,,
33,Strain 2,mint,3,2.88,86,194.9,522.5,1.057790294,4.454347296,5.272486607,6.258624984,0.04543,2.11362,On soil,,,,,
34,Strain 2,mint,3,7.363,103.2,225.8,565.4,1.996467458,4.636668853,5.419649652,6.337533445,0.04007,2.63477,On soil,,,,,
35,Strain 2,mint,3,7.151,94.4,253.7,523.6,1.967252207,4.547541073,5.536152467,6.260728034,0.03357,2.56031,On soil,,,,,
41,Strain 3,oranje,1,3.528,57.1,185.8,226,1.260731138,4.044804117,5.224670826,5.420534999,0.04316,2.31428,On soil,,,,,
42,Strain 3,oranje,1,4.886,160.7,398.4,728.8,1.586373973,5.079539273,5.987456526,6.591399346,0.02168,2.03351,Stick_Net,,,,,
43,Strain 3,oranje,1,9.742,241.7,525.9,951.5,2.276446435,5.487697288,6.265111081,6.858039687,0.01705,2.23409,,,,,,
44,Strain 3,oranje,1,5.539,55.4,266.4,596.5,1.711813979,4.014579594,5.584998939,6.391079242,0.02711,2.37671,On soil,At Stem,,,,
45,Strain 3,oranje,1,4.252,53,219.8,379.5,1.44738946,3.970291914,5.392718042,5.938854597,0.03411,2.33837,On soil,,,,,
46,Strain 3,oranje,2,4.722,65,236.3,321.6,1.552232439,4.17438727,5.465102184,5.773308537,0.03289,2.35418,On soil,,,,,
47,Strain 3,oranje,2,7.32,51.6,185.4,270.4,1.990610328,3.943521672,5.222515653,5.599902344,0.04227,2.85095,Leaf,,,,,
48,Strain 3,oranje,2,6.272,110.3,224.8,596.7,1.836095283,4.703203926,5.415211118,6.391414475,0.04079,2.49361,Leaf,,,,,
49,Strain 3,oranje,2,5.319,119.1,196.7,525.4,1.671285316,4.779963476,5.281679725,6.264159877,0.04810,2.40769,Leaf,,,,,
50,Strain 3,oranje,2,5.046,109.1,229.7,604.8,1.61859585,4.692264893,5.43677411,6.404897825,0.03944,2.33392,Stick_Net,,,,,
51,Strain 3,oranje,3,6.08,72.9,253.2,358.3,1.805004696,4.289088639,5.53417969,5.881370624,0.03113,2.47097,On soil,,,,,
52,Strain 3,oranje,3,3.944,73.3,224.9,329.7,1.372195437,4.294560609,5.415655859,5.79818315,0.03625,2.25994,In soil,,,,,
53,Strain 3,oranje,3,3.264,66.2,193,453.7,1.182953437,4.192680463,5.262690189,6.117436187,0.04286,2.23207,Stick_Net,,,,,
54,Strain 3,oranje,3,4.49,95.8,213.5,547.9,1.501852702,4.562262685,5.363636833,6.306092789,0.04183,2.31853,Pot edge,,,,,
55,Strain 3,oranje,3,6.386,121.6,240.2,539.3,1.854108094,4.80073697,5.48147191,6.290272002,0.03839,2.44955,On soil,,,,,
61,WCS417,crème,1,4.902,77.8,256.3,386.5,1.589643285,4.354141431,5.546348633,5.957131868,0.03118,2.31990,Pot edge,,,,,
62,WCS417,crème,1,6.794,153.3,429.6,799.8,1.91603987,5.032396786,6.062854543,6.684361696,0.01946,2.18797,Pot edge,,,,,
63,WCS417,crème,1,5.664,89.1,249.1,498.1,1.734130356,4.489759334,5.517854422,6.21080086,0.03371,2.41211,Leaf,,,,,
64,WCS417,crème,1,6.6,132.4,290.5,783.7,1.887069649,4.885827644,5.671603576,6.664026294,0.03090,2.36595,Pot edge,,,,,
65,WCS417,crème,1,7.405,130,107.6,77.6,2.002155448,4.86753445,4.678420648,4.351567427,0.06707,2.84036,Stick_Net,,,,,
66,WCS417,crème,2,3.894,74.1,233.5,366.2,1.359436907,4.305415532,5.453182077,5.903179632,0.03464,2.23365,Stick_Net,,,,,
67,WCS417,crème,2,8.621,220.7,452.8,801.8,2.154201087,5.396804313,6.115450527,6.6868592,0.02008,2.23733,Pot edge,,,,,
68,WCS417,crème,2,8.133,171.9,381.7,721.2,2.095929859,5.146912912,5.94463496,6.580916491,0.02342,2.32620,On soil,,,,,
69,WCS417,crème,2,5.906,111.7,254.7,565.5,1.775968783,4.715816706,5.540086382,6.337710296,0.03491,2.38837,On soil,,,,,
70,WCS417,crème,2,7.002,88.1,232.9,468,1.946195823,4.478472533,5.450609177,6.148468296,0.03679,2.60764,On soil,,,,,
71,WCS417,crème,3,6.715,125,210.4,479.7,1.90434383,4.828313737,5.349010481,6.173160909,0.04511,2.53843,In soil,,,,,
72,WCS417,crème,3,7.147,73.7,265.7,393.5,1.966692688,4.300002799,5.582367853,5.975081068,0.02938,2.55130,On soil,,,,,
73,WCS417,crème,3,6.829,144.9,404.9,769.6,1.92117825,4.976043849,6.003640123,6.645870899,0.02068,2.22444,On soil,,,,,
74,WCS417,crème,3,6.874,97.1,272.2,572.4,1.927746178,4.575741375,5.60653709,6.349838048,0.03086,2.48551,In soil,,,,,
