SampleName,Phase_PSF,SampleNr,Accession,Domestication,Cat_treatment,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,GSL_leaf_analyis,C_N_Determination,Leave_samples_left_over_after_GSL_analysis,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_samples_left_over_after_GSL_analysis,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note,L_GSL_Leaf_weight_mg,L_Total_GSL,L_Total_Aliphatic,L_Total_Indol,L_Progoitrin,L_Glucoraphanin,L_Sinigrin,L_Gluconapin,L_Glucoerucin,L_Glucobrassicin,L_Methoxy_glucobrassicin,L_Gluconasturtiin ,L_Neoglucobrassicin,L_X3MSOP,L_X5MSOP,L_X4.Pent,L_X4OHI3M,L_Note_GSL,R_GSL_Leaf_weight_mg,R_Total_GSL,R_Total_Aliphatic,R_Total_Indol,R_Progoitrin,R_Glucoraphanin,R_Sinigrin,R_Gluconapin,R_Glucoerucin,R_Glucobrassicin,R_Methoxy_glucobrassicin,R_Neoglucobrassicin,R_Gluconasturtiin,R_X3MSOP,R_X5MSOP,R_X4.Pent,R_X4OHI3M,R_Note_GSL,L_N_content,L_C_content,L_C_N_ratio,L_Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,Root_Weight,Note_RootBiomass
Blank1,FP,B1,BB,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
Blank2,FP,B2,BS,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
Blank3,FP,B3,BB,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
Blank4,FP,B4,BS,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
Blank5,FP,B5,BB,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
Blank6,FP,B6,BS,NA,B,B,NA,,NA,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,BlankDNAExtraxtion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA
C001,CP,1,CD,Cultivated,Co,,1,1,1,1,1,1,4,3,15,0,1,,,1,,0,0,,0,0,,,,,,,,,,,,8.9,0.6,0.55,0.05,0,0,0.55,0,0,0.05,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C002,CP,2,CD,Cultivated,Co,,1,2,1,1,2,1,1,3,27,0,1,,,1,,0,0,,0,0,,,,,,,,,,,,9.6,0.45,0.44,0.01,0,0,0.44,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C003,CP,3,CD,Cultivated,Co,,1,3,1,1,3,1,6,3,71,0,1,,,1,,0,0,,0,0,,,,,,,,,,,,12.5,0.03,0.02,0.01,0,0,0.02,0,0,0.01,0,0,0,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
C004,CP,4,CD,Cultivated,Co,,1,4,1,1,4,2,2,3,79,0,1,,,0,,1,0,,0,0,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,,,,
