SampleName,SampleNr,Accession,Soil_conditioning,TreatmentNr,PlantNr,Batch,Table,Block_n,Block_g,Rows,Cols,plots,InductionNr_CP,InductionNr_FP,Caterpillar_biomass_Sample,Leaf_Damage_Sample,Leaf_Disk_GSL_Sample,C_N_Determination,Leftover_GSL_samples,Rhizosphere_Sample,Rhizoplane_Sample,Root_GSL_Sample,Root_biomass,Bulk_Soil_Sample,Top_Soil_Sample,Caterpillar_Microbe_Sample,Phylosphere_Sample,Glycerol_Stock,DNA_rhizosphere,DNA_rhizoplane,DNA_top_soil,DNA_Caterpillar,Note_FP,GSL_Leaf_weight_mg,Total_GSL,Total_Aliphatic,Total_Indol,Progoitrin,Glucoraphanin,Sinigrin,Gluconapin,Glucoerucin,Glucobrassicin,Methoxy_glucobrassicin,Gluconasturtiin ,Neoglucobrassicin,X3MSOP,X5MSOP,X4.Pent,X4OHI3M,Note_GSL,N_content,C_content,C_N_ratio,Note_C_N,Mean_Weight_Cat,Note_Cat_Weight,InductionNr,Survival,Dead,Survival_fraction,LnRR_Survival_PerBatch,LnRR,LnRR_Surv_Dom_PerBatch,LnRR_Surv_Dom,Root_Weight,Note_RootBiomass,Domestication
F001,1,CD,Co,1,1,1,1,1,1,4,3,15,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Plant had (nearly) no damage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.948,"Caterpillar weight is avaraged per plant, another file has weight per caterpillar; all weight are in mg",2,1,1,0.5,,,,,,,Cultivated
F021,21,CD,Mb,2,1,1,1,1,1,2,2,6,5,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46266667,,3,3,0,1,1.692307692,1.294117647,0.909370289,0.81729561,,,Cultivated
F041,41,DD,Co,3,1,1,1,1,1,2,1,5,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.124,,2,2,0,1,,,,,0.4411,,Wild
F061,61,DD,Mb,4,1,1,1,1,1,1,3,3,8,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3265,,2,2,0,1,1.466666667,1.692307692,0.935817154,0.895013333,,,Wild
F081,81,GO1,Co,5,1,1,1,1,1,4,1,13,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,plant heavily damaged,5.2,0.03,0,0.03,0,0,0,0,0,0.03,0,0,0,NA,NA,NA,NA,plant heavily damaged,2.56,37.76,14.73,,20.42,,2,2,0,1,,,,,0.0938,,Cultivated
F101,101,GO1,Mb,6,1,1,1,1,1,1,4,4,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Switched around with E30 before herbivore infestation because plant was very small // plant heavily damaged, 1 cat was stuck in the net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.235,,3,3,0,1,1.222222222,1.189189189,0.909370289,0.81729561,0.1063,,Cultivated
F121,121,HE,Co,7,1,1,1,1,1,1,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,,,,,0.6115,,Wild
F141,141,HE,Mb,8,1,1,1,1,1,4,4,16,6,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,0.4882,,Wild
F161,161,HM,Co,9,1,1,1,1,1,3,2,10,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,plant severely damaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.6595,,2,2,0,1,,,,,0.4593,,Cultivated
F181,181,HM,Mb,10,1,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,little bit of trips damage observed during caterpillar infestation // plant severely damaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9645,,4,4,0,1,1.692307692,1.294117647,0.909370289,,0.6876,,Cultivated
