"","Accession","Plantnr","Batch","Total_Leaf_Area","Consumed_Leaf_Area","Sub_batch2","Fr_Consumed"
"1","CD",1,1,112.947,3.725,1,0.0329800702984586
"2","DD",1,1,92.445,0.234,1,0.00253123478825247
"3","KI",1,1,85.661,3.294,1,0.0384539055112595
"4","OH",1,1,86.779,1.02,1,0.0117539957823897
"5","CD",2,1,104.147,4.653,1,0.0446772350619797
"6","KI",2,1,100.719,3.705,1,0.0367855121675156
"7","OH",2,1,70.291,0.907,1,0.0129035011594657
"8","CD",3,1,95.19,5.385,1,0.0565710683895367
"9","DD",3,1,127.202,1.157,1,0.00909576893445072
"10","KI",3,1,91.566,4.99,1,0.0544962103837669
"11","OH",3,1,110.587,2.182,1,0.0197310714640961
"12","CD",4,1,114.894,5.663,1,0.0492889097777082
"13","DD",4,1,117.282,0.506,1,0.00431438754455074
"14","KI",4,1,81.569,4.161,1,0.051012026627763
"15","OH",4,1,100.89,1.656,1,0.0164139161462979
"16","CD",5,1,119.484,4.033,1,0.0337534732683874
"17","DD",5,1,70.984,0.533,1,0.00750873436267328
"18","KI",5,1,82.481,2.651,1,0.0321407354421018
"19","OH",5,1,111.321,2.107,1,0.0189272464314909
"20","DD",6,1,81.38,0.848,1,0.0104202506758417
"21","KI",6,1,74.013,3.769,1,0.0509234864145488
"22","OH",6,1,104.275,0.812,1,0.00778710141452889
"23","CY",13,1,116.165,10.222,1,0.0879955236086601
"24","CY",14,1,118.093,11.204,1,0.0948743786676602
"25","RI",14,1,102.849,5.118,1,0.0497622728466004
"26","VL",14,1,99.251,7.743,1,0.0780143273115636
"27","RI",15,1,105.409,6.296,1,0.0597292451308712
"28","CY",16,1,115.762,8.967,1,0.0774606520274356
"29","RI",16,1,135.321,8.977,1,0.0663385579473992
"30","CY",17,1,114.07,9.417,1,0.082554571754186
"31","RI",17,1,125.401,6.444,1,0.0513871500227271
"32","VL",17,1,163.758,8.014,1,0.0489380671478645
"33","CY",18,1,100.393,9.532,1,0.0949468588447402
"34","VL",18,1,143.097,8.353,1,0.058372991746857
"35","RI",19,1,121.697,7.786,1,0.0639785697264518
"36","VL",19,1,115.807,10.5,1,0.0906680943293583
"37","BS",1,2,118.261,6.709,3,0.0567304521355307
"39","GO1",1,2,116.45,4.125,3,0.0354229282954058
"40","GO2",1,2,72.912,7.109,3,0.0975010972130788
"41","HE",1,2,104.394,2.52,3,0.0241393183516294
"42","IT1",1,2,135.168,6.29,3,0.0465346827651515
"43","IT2",1,2,90.883,3.742,3,0.0411738168854461
"44","KT",1,2,115.507,4.303,3,0.0372531534885332
"45","MC",1,2,101.012,4.752,3,0.0470439155743872
"46","SA",1,2,111.252,4.842,3,0.0435228130730234
"47","CD",2,2,105.363,4.217,3,0.0400235376745157
"48","GO2",2,2,76.96,5.33,3,0.0692567567567568
"49","HE",2,2,89.699,0.457,3,0.00509481711055865
"50","IT1",2,2,105.555,5.303,3,0.0502392117853252
"51","KT",2,2,140.365,4.938,3,0.0351797100416771
"52","MC",2,2,140.258,4.584,3,0.0326826277288996
"53","SA",2,2,100.989,7.299,3,0.0722751982889226
"54","BS",3,2,77.995,6.855,3,0.0878902493749599
"55","GO1",3,2,124.265,9.802,3,0.078879813302217
"56","GO2",3,2,84.05,6.008,3,0.071481261154075
"57","HE",3,2,117.928,4.504,3,0.0381927956040974
"58","IT2",3,2,134.303,9.041,3,0.0673179303515186
"59","KT",3,2,103.383,6.433,3,0.0622249305978739
"60","SA",3,2,96.142,4.336,3,0.045099956314618
"61","CD",4,2,73.789,2.417,4,0.0327555597717817
"62","GO1",4,2,140.855,7.205,4,0.0511518937914877
"63","GO2",4,2,97.688,4.378,4,0.0448161493735157
"64","HE",4,2,132.01,5.323,4,0.0403227028255435
"65","IT1",4,2,128.624,6.497,4,0.0505115686030601
"66","IT2",4,2,118.17,3.47,4,0.0293644749090294
"67","KT",4,2,139.565,2.977,4,0.0213305628201913
"68","MC",4,2,133.553,6.441,4,0.0482280442970207
"69","SA",4,2,108.559,4.134,4,0.038080675024641
"70","CD",5,2,159.139,3.005,4,0.0188828634087182
"71","GO1",5,2,147.552,7.483,4,0.0507143244415528
"72","GO2",5,2,75.757,5.865,4,0.0774185883812717
"73","HE",5,2,42.612,2.475,4,0.0580822303576457
"74","IT1",5,2,107.507,8.187,4,0.0761531807231157
"75","IT2",5,2,115.194,6.412,4,0.0556626213170825
"76","KT",5,2,131.496,7.642,4,0.0581158362231551
"77","MC",5,2,131.645,6.256,4,0.0475217440844696
"78","SA",5,2,109.779,4.783,4,0.0435693529727908
"79","CD",6,2,112.151,2.958,4,0.0263751549250564
"80","GO1",6,2,125.368,6.952,4,0.0554527471125008
"81","GO2",6,2,84.853,5.4,4,0.0636394706138852
"82","IT1",6,2,126.937,4.244,4,0.0334339081591656
"83","IT2",6,2,117.567,6.772,4,0.057601197614977
"84","KT",6,2,134.284,5.097,4,0.0379568675344792
"85","MC",6,2,129.343,5.806,4,0.0448883975166805
"86","CD",7,2,124.528,4.546,4,0.0365058460747784
"87","GO1",7,2,135.299,4.666,4,0.0344865815711868
"88","HE",9,2,112.032,2.772,4,0.0247429305912596
"89","IT1",9,2,99.606,6.169,3,0.0619340200389535
"90","IT2",9,2,86.735,7.705,3,0.0888338041159855
"91","MC",9,2,113.547,5.306,3,0.0467295481166389
"92","SA",10,2,121.424,4.968,4,0.0409144814863618
"93","CD",11,2,120.486,5.582,3,0.0463290340786481
"94","BS",14,2,149.342,9.229,4,0.0617977528089888
"95","BS",15,2,138.439,11.108,4,0.0802375053272561
