Full_code,Number,Treatment,Block,Date,Weight_mg,Weight
1_Strain 1,1,Strain 1,1,4-5-2026,"2,033",2.033
2_Strain 1,2,Strain 1,1,4-5-2026,"2,196",2.196
3_Strain 1,3,Strain 1,1,4-5-2026,"2,272",2.272
4_Strain 1,4,Strain 1,1,4-5-2026,"1,912",1.912
5_Strain 1,5,Strain 1,1,4-5-2026,"2,138",2.138
6_Strain 1,6,Strain 1,2,4-5-2026,"2,332",2.332
7_Strain 1,7,Strain 1,2,4-5-2026,"1,695",1.695
8_Strain 1,8,Strain 1,2,4-5-2026,"2,085",2.085
9_Strain 1,9,Strain 1,2,4-5-2026,"1,490",1.49
10_Strain 1,10,Strain 1,2,4-5-2026,"3,403",3.403
11_Strain 1,11,Strain 1,3,4-5-2026,"1,845",1.845
12_Strain 1,12,Strain 1,3,4-5-2026,"1,830",1.83
13_Strain 1,13,Strain 1,3,4-5-2026,"2,229",2.229
14_Strain 1,14,Strain 1,3,4-5-2026,"2,141",2.141
15_Strain 1,15,Strain 1,3,4-5-2026,"2,082",2.082
21_Strain 2,21,Strain 2,1,4-5-2026,"1,374",1.374
22_Strain 2,22,Strain 2,1,4-5-2026,"1,496",1.496
23_Strain 2,23,Strain 2,1,4-5-2026,"2,711",2.711
24_Strain 2,24,Strain 2,1,4-5-2026,"2,158",2.158
25_Strain 2,25,Strain 2,1,4-5-2026,"2,295",2.295
26_Strain 2,26,Strain 2,2,4-5-2026,"1,705",1.705
27_Strain 2,27,Strain 2,2,4-5-2026,"2,146",2.146
28_Strain 2,28,Strain 2,2,4-5-2026,"2,281",2.281
29_Strain 2,29,Strain 2,2,4-5-2026,"2,252",2.252
30_Strain 2,30,Strain 2,2,4-5-2026,"2,433",2.433
31_Strain 2,31,Strain 2,3,4-5-2026,"1,751",1.751
32_Strain 2,32,Strain 2,3,4-5-2026,"2,451",2.451
33_Strain 2,33,Strain 2,3,4-5-2026,"2,066",2.066
34_Strain 2,34,Strain 2,3,4-5-2026,"2,255",2.255
35_Strain 2,35,Strain 2,3,4-5-2026,"2,285",2.285
41_Strain 3,41,Strain 3,1,4-5-2026,"1,850",1.85
42_Strain 3,42,Strain 3,1,4-5-2026,"1,542",1.542
43_Strain 3,43,Strain 3,1,4-5-2026,"1,709",1.709
44_Strain 3,44,Strain 3,1,4-5-2026,"2,384",2.384
45_Strain 3,45,Strain 3,1,4-5-2026,"2,021",2.021
46_Strain 3,46,Strain 3,2,4-5-2026,"1,902",1.902
47_Strain 3,47,Strain 3,2,4-5-2026,"1,818",1.818
48_Strain 3,48,Strain 3,2,4-5-2026,"1,802",1.802
49_Strain 3,49,Strain 3,2,4-5-2026,"1,566",1.566
50_Strain 3,50,Strain 3,2,4-5-2026,"1,973",1.973
51_Strain 3,51,Strain 3,3,4-5-2026,"2,237",2.237
52_Strain 3,52,Strain 3,3,4-5-2026,"2,687",2.687
53_Strain 3,53,Strain 3,3,4-5-2026,"2,461",2.461
54_Strain 3,54,Strain 3,3,4-5-2026,"2,200",2.2
55_Strain 3,55,Strain 3,3,4-5-2026,"2,467",2.467
61_WCS417,61,WCS417,1,4-5-2026,"2,081",2.081
62_WCS417,62,WCS417,1,4-5-2026,"2,147",2.147
63_WCS417,63,WCS417,1,4-5-2026,"2,308",2.308
64_WCS417,64,WCS417,1,4-5-2026,"2,573",2.573
65_WCS417,65,WCS417,1,4-5-2026,"2,561",2.561
66_WCS417,66,WCS417,2,4-5-2026,"1,450",1.45
67_WCS417,67,WCS417,2,4-5-2026,"1,624",1.624
68_WCS417,68,WCS417,2,4-5-2026,"1,740",1.74
69_WCS417,69,WCS417,2,4-5-2026,"2,287",2.287
70_WCS417,70,WCS417,2,4-5-2026,"1,690",1.69
71_WCS417,71,WCS417,3,4-5-2026,"2,431",2.431
72_WCS417,72,WCS417,3,4-5-2026,"2,027",2.027
73_WCS417,73,WCS417,3,4-5-2026,"1,781",1.781
74_WCS417,74,WCS417,3,4-5-2026,"2,135",2.135
75_WCS417,75,WCS417,3,4-5-2026,"1,904",1.904
81_Heat-killed,81,Heat-killed,1,4-5-2026,"2,032",2.032
82_Heat-killed,82,Heat-killed,1,4-5-2026,"2,158",2.158
83_Heat-killed,83,Heat-killed,1,4-5-2026,"2,186",2.186
84_Heat-killed,84,Heat-killed,1,4-5-2026,"1,746",1.746
85_Heat-killed,85,Heat-killed,1,4-5-2026,"1,730",1.73
86_Heat-killed,86,Heat-killed,2,4-5-2026,"2,107",2.107
87_Heat-killed,87,Heat-killed,2,4-5-2026,"2,391",2.391
88_Heat-killed,88,Heat-killed,2,4-5-2026,"2,471",2.471
89_Heat-killed,89,Heat-killed,2,4-5-2026,"2,653",2.653
90_Heat-killed,90,Heat-killed,2,4-5-2026,"2,602",2.602
91_Heat-killed,91,Heat-killed,3,4-5-2026,"2,002",2.002
92_Heat-killed,92,Heat-killed,3,4-5-2026,"2,027",2.027
93_Heat-killed,93,Heat-killed,3,4-5-2026,"2,215",2.215
94_Heat-killed,94,Heat-killed,3,4-5-2026,"1,869",1.869
95_Heat-killed,95,Heat-killed,3,4-5-2026,"1,921",1.921
101_CTRL,101,CTRL,1,4-5-2026,"1,759",1.759
102_CTRL,102,CTRL,1,4-5-2026,"2,209",2.209
103_CTRL,103,CTRL,1,4-5-2026,"2,117",2.117
104_CTRL,104,CTRL,1,4-5-2026,"1,368",1.368
105_CTRL,105,CTRL,1,4-5-2026,"2,151",2.151
106_CTRL,106,CTRL,2,4-5-2026,"2,278",2.278
107_CTRL,107,CTRL,2,4-5-2026,"2,221",2.221
108_CTRL,108,CTRL,2,4-5-2026,"2,601",2.601
109_CTRL,109,CTRL,2,4-5-2026,"2,757",2.757
110_CTRL,110,CTRL,2,4-5-2026,"2,356",2.356
111_CTRL,111,CTRL,3,4-5-2026,"1,977",1.977
112_CTRL,112,CTRL,3,4-5-2026,"2,441",2.441
113_CTRL,113,CTRL,3,4-5-2026,"2,060",2.06
114_CTRL,114,CTRL,3,4-5-2026,"2,357",2.357
115_CTRL,115,CTRL,3,4-5-2026,"1,696",1.696
